videoId,comments/views
pha37bMwWR0,0.0010585791241866842
XDUxYxHU3CY,0.0012426901907835318
Spfaub0sVk0,0.0005609744889870682
eiGdsH1g20k,0.0005131814851735603
xYcL5_iSZJE,0.0006922287383641407
AOfMnx6fc6A,0.001341513620982237
2LZ0r2VFts4,0.0004757203647663322
5nyFfZnsyNY,0.0004398438970777044
J4556Pbl70Y,0.0006561160525680014
tNVBhBNj1oY,0.00043160338115039523
un0eSCZI0ws,9.892382832004865e-05
NjRRDE7gK4E,0.0007619556354642686
kN1D8p2Fc6U,0.0003710634469407945
jK0K-2Gz780,0.00044073597884533735
EDlycV2GYRg,0.00036368247296591285
pMmCvixJS8c,0.0005056077105040879
Rw9EiwUn4Yg,0.0004454708979684004
i0OVzsMhT2I,0.000847936296912668
7-iBeFQUIVs,0.0006320393546355843
ZDsLYwBIrpA,0.0008386002654405496
xiNbVgBilSw,0.0003224808111884477
kfrB0-7uXjs,0.00019537147221284834
yHA9lxVhNdo,0.0005828402898915605
aWZua5HYfnY,0.00045669793186878764
rUNUnLIxVI0,0.00048028077953264983
mdtpZz3Fk1c,0.0018199884943256106
QfpgUe7jsr0,0.00036492027666448973
9ZsRQNUQ8Vo,0.0004940829097454721
lGkqNVrgFWE,0.0003750260106312544
8uzXFv9f_qc,0.0003436041356845848
eq8gmDFagRk,0.0002698028363887928
qPweDwkDw6w,0.0002773798983809755
sLaOUarJibo,0.00046432409822055794
aSMxY_O0NTA,0.00047067635985825865
UMsA3T4xsU8,0.00046224384897434675
rRSBpIZiid4,0.0006832722529349649
6mc7cU5mN80,0.0005906315828331025
IKZ41mDtayc,0.0004899554273957896
QGug_eltOnE,0.0002698049394078435
NNqhURzgEOY,0.00032082282701165725
I9p-FyeoHo0,0.0006824197149791917
7Nn45WvKONM,0.0005211486326428552
W21StuboNl8,0.0003162988038020587
xjMk6UrkJ9g,0.0003577046019584961
EiBe_-FwYZ8,0.0002576129555385378
TQfGgJulCAc,0.00030601044426951094
AExTAC1d1zA,0.00028628407732611723
GGmrutEnsnY,0.0006701321184086224
tRLConvNTYg,0.0004351390680259006
8uN4r87e618,0.00033609994512404535
679fwkCUfEE,0.0006165595396484593
jpiF8AwkBTo,0.0005850639025939446
np0-bHANnEg,0.00033599475115108745
dyqmCzbemys,0.0001443001443001443
Lqe6tajM9w8,0.0003996071231021291
